Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
DACB01000012.1_38	COG1915	0	0.6198	0.6048	0.9759	0.9975
DACB01000012.1_39	COG2217	1.27e-131	0.4286	0.202	0.4712	1.003
DACB01000012.1_40	COG2217	1.43e-84	0.3368	0.1346	0.3997	0.9694
DACB01000012.1_41	COG0640	6.76e-19	0.38	0.3455	0.9091	0.8333
DACB01000012.1_42	COG1316	1.73e-50	0.3024	0.2443	0.8078	0.8986
DACB01000012.1_43	COG1001	0	0.4964	0.4743	0.9555	1.039
DACB01000012.1_44	COG2248	2.44e-94	0.4955	0.3618	0.7303	0.9955
DACB01000012.1_45	COG1720	5.58e-51	0.4361	0.3718	0.8526	1.008
DACB01000012.1_47	COG2457	5.73e-35	0.315	0.3166	1.005	0.9662
DACB01000012.1_48	COG0518	5.4e-65	0.3756	0.3737	0.9949	1.042
DACB01000012.1_49	COG0519	2.85e-175	0.5605	0.5587	0.9968	1.016
DACB01000003.1_2	COG2191	1.38e-36	0.343	0.3447	1.005	1.073
DACB01000003.1_3	COG2014	4.49e-45	0.2128	0.2	0.94	0.9476
DACB01000003.1_4	COG2226	1.69e-12	0.2641	0.1176	0.4454	0.5248
DACB01000003.1_8	COG2226	3.43e-11	0.2868	0.1555	0.542	0.6324
DACB01000003.1_9	COG1143	1.25e-11	0.2857	0.1163	0.407	0.3825
DACB01000003.1_10	COG1145	6.03e-12	0.3378	0.2525	0.7475	0.6325
DACB01000003.1_11	COG3585	5.47e-14	0.4118	0.4058	0.9855	0.9855
DACB01000003.1_12	COG1720	7.29e-57	0.4286	0.4231	0.9872	0.939
DACB01000003.1_13	COG1693	3.37e-54	0.4351	0.2062	0.4738	0.385
DACB01000003.1_14	COG1693	4.47e-53	0.5211	0.2277	0.4369	0.9793
DACB01000003.1_15	COG0174	0	0.4811	0.4876	1.014	1.016
DACB01000003.1_16	COG1950	3.51e-14	0.3044	0.2917	0.9583	0.1786
DACB01000003.1_17	COG1060	3.4e-130	0.441	0.4243	0.9622	1.023
DACB01000003.1_18	COG4022	6.58e-107	0.4877	0.486	0.9965	1.018
DACB01000003.1_19	COG0517	1.47e-21	0.4087	0.4017	0.9829	0.9055
DACB01000003.1_21	COG0422	0	0.5657	0.5579	0.9861	1
DACB01000003.1_22	COG0695	4.29e-15	0.2125	0.2125	1	0.8602
DACB01000003.1_23	COG4802	1.06e-31	0.4762	0.4545	0.9545	0.5966
DACB01000003.1_24	COG1793	8.09e-115	0.3558	0.3806	1.07	0.8437
DACB01000003.1_25	COG4085	4.02e-12	0.2895	0.1618	0.5588	0.8702
DACB01000003.1_26	COG0392	6.41e-13	0.1939	0.1957	1.009	0.9789
DACB01000003.1_27	COG0463	5.58e-20	0.2735	0.2199	0.8041	1.026
DACB01000003.1_28	COG1287	1.25e-11	0.1641	0.08409	0.5123	0.8571
DACB01000003.1_29	COG1287	4.99e-13	0.2236	0.09056	0.4049	0.5917
DACB01000003.1_31	COG1036	3.65e-79	0.489	0.4759	0.9733	0.9785
DACB01000003.1_32	COG1109	3.5e-178	0.463	0.459	0.9914	1.018
DACB01000003.1_35	COG1839	4.76e-85	0.5652	0.5617	0.9938	0.9877
DACB01000003.1_37	COG0365	0	0.3346	0.3371	1.008	0.9534
DACB01000003.1_39	COG0674	1.64e-94	0.3379	0.337	0.9973	1.022
DACB01000003.1_40	COG1013	7.52e-64	0.3333	0.2517	0.7551	0.4549
DACB01000003.1_41	COG0784	4.54e-20	0.3077	0.3077	1	0.8387
DACB01000003.1_42	COG0708	2.37e-114	0.4542	0.4559	1.004	1.004
DACB01000003.1_43	COG0252	7.01e-136	0.3963	0.4302	1.085	0.8699
DACB01000003.1_44	COG2511	0	0.5441	0.5372	0.9873	0.9936
DACB01000003.1_45	COG0492	8.53e-107	0.4952	0.5049	1.02	1.013
DACB01000003.1_46	COG0648	3.16e-66	0.3125	0.3036	0.9714	0.968
DACB01000003.1_48	COG1223	0	0.5577	0.5516	0.9891	0.9733
DACB01000003.1_57	COG4096	3.62e-157	0.2473	0.2594	1.049	1.007
DACB01000003.1_58	COG0732	1.75e-14	0.2026	0.2353	1.161	0.8937
DACB01000003.1_59	COG0286	9.69e-85	0.2648	0.274	1.035	1.045
DACB01000003.1_60	COG1715	2.66e-140	0.5162	0.5162	1	1.034
DACB01000003.1_64	COG1309	2.9e-15	0.201	0.194	0.9652	1.01
DACB01000003.1_65	COG1309	1.93e-15	0.1979	0.1841	0.9303	1.027
DACB01000003.1_66	COG0373	7.64e-131	0.3971	0.3961	0.9976	1.04
DACB01000003.1_67	COG1648	3.36e-44	0.305	0.2905	0.9524	0.9709
DACB01000003.1_68	COG4008	2.21e-74	0.5909	0.5948	1.007	0.9686
DACB01000003.1_69	COG1123	1.41e-55	0.3355	0.09462	0.282	0.9102
DACB01000013.1_1	COG0785	1.15e-19	0.3	0.2864	0.9545	1.019
DACB01000013.1_2	COG1132	1.68e-47	0.5641	0.1164	0.2063	0.907
DACB01000013.1_3	COG1132	1.23e-73	0.2597	0.1764	0.679	0.8499
DACB01000013.1_4	COG1132	6.81e-83	0.4504	0.2081	0.4621	0.9562
DACB01000013.1_5	COG1132	5.45e-55	0.2906	0.164	0.5644	0.9697
DACB01000013.1_7	COG4221	1.03e-53	0.3737	0.2886	0.7724	0.6884
DACB01000013.1_10	COG1533	5.4e-53	0.3101	0.2997	0.9663	0.9631
DACB01000013.1_11	COG2141	3.42e-42	0.2585	0.25	0.9673	1.009
DACB01000013.1_19	COG2513	2.98e-35	0.3273	0.1868	0.5709	0.9706
DACB01000013.1_21	COG2226	7.26e-26	0.4299	0.1933	0.4496	0.4147
DACB01000013.1_22	COG0640	2.43e-21	0.3838	0.3455	0.9	0.8182
DACB01000013.1_24	COG0798	4.55e-122	0.5161	0.5146	0.9971	0.9266
DACB01000013.1_25	COG4066	1.22e-43	0.362	0.3576	0.9879	0.9157
DACB01000013.1_28	COG1581	1.79e-34	0.5682	0.5494	0.967	0.9462
DACB01000013.1_29	COG3269	6.64e-25	0.5882	0.5479	0.9315	0.85
DACB01000013.1_30	COG0006	8.78e-66	0.3091	0.2995	0.9688	1.008
DACB01000013.1_31	COG5423	5.35e-13	0.2112	0.2036	0.9641	0.7385
DACB01000013.1_33	COG1032	6.07e-65	0.2738	0.2469	0.902	0.9693
DACB01000013.1_34	COG2036	1.52e-21	0.55	0.3626	0.6593	0.8
DACB01000013.1_35	COG4066	4.69e-29	0.2788	0.2788	1	0.927
DACB01000013.1_36	COG0655	1.32e-35	0.2553	0.2319	0.9082	1.074
DACB01000013.1_37	COG0501	6.58e-50	0.3345	0.3212	0.9603	0.9732
DACB01000013.1_38	COG1704	1.78e-63	0.5153	0.4541	0.8811	0.8579
DACB01000013.1_40	COG2239	1.82e-80	0.3302	0.2373	0.7184	0.9701
DACB01000013.1_42	COG1193	8.74e-50	0.2342	0.2072	0.8845	1.047
DACB01000013.1_43	COG0826	1e-111	0.4683	0.4467	0.9539	0.3796
DACB01000013.1_44	COG0784	3.77e-18	0.272	0.2615	0.9615	0.9843
DACB01000013.1_45	COG0382	1.98e-31	0.2473	0.2353	0.9516	0.9821
DACB01000013.1_47	COG3369	9.35e-28	0.407	0.4487	1.103	0.3583
DACB01000013.1_49	COG0053	2.76e-76	0.3664	0.352	0.9605	0.9966
DACB01000013.1_51	COG0125	9.48e-35	0.3103	0.3029	0.976	1.086
DACB01000013.1_52	COG0170	1.86e-23	0.2627	0.2639	1.005	0.9118
DACB01000013.1_53	COG0125	3.73e-63	0.401	0.399	0.9952	1.078
DACB01000013.1_56	COG0162	9.96e-91	0.2653	0.2269	0.8554	1.069
DACB01000013.1_57	COG1499	3.36e-84	0.3174	0.3183	1.003	1.011
DACB01000013.1_58	COG1601	1.72e-54	0.4672	0.4238	0.9073	1.007
DACB01000013.1_59	COG1241	0	0.5068	0.4912	0.9692	0.9822
DACB01000013.1_62	COG0293	4.99e-81	0.48	0.4683	0.9756	0.9804
DACB01000013.1_63	COG0622	1.72e-41	0.3806	0.343	0.9012	0.8708
DACB01000013.1_64	COG0550	0	0.3395	0.3561	1.049	0.8458
DACB01000013.1_65	COG1287	1.07e-67	0.2144	0.1889	0.881	0.8195
DACB01000013.1_66	COG1163	0	0.5671	0.5671	1	1
DACB01000013.1_67	COG1635	4.91e-122	0.5946	0.5878	0.9885	1
DACB01000013.1_68	COG1936	5.45e-50	0.4124	0.4056	0.9833	0.9833
DACB01000013.1_69	COG2023	3.52e-29	0.4021	0.3714	0.9238	0.7823
DACB01000013.1_70	COG1534	3.72e-17	0.3333	0.2371	0.7113	0.7841
DACB01000013.1_71	COG2238	2.28e-77	0.6054	0.6054	1	1.007
DACB01000013.1_72	COG2118	6.64e-22	0.4825	0.4741	0.9828	0.9828
DACB01000013.1_73	COG2117	6.87e-81	0.505	0.505	1	0.9851
DACB01000013.1_74	COG2167	2.8e-13	0.74	0.7255	0.9804	0.9615
DACB01000013.1_75	COG2097	7.9e-31	0.5926	0.5393	0.9101	0.9878
DACB01000013.1_76	COG1976	6.21e-86	0.5158	0.5135	0.9955	0.9822
DACB01000013.1_77	COG2157	3.28e-18	0.4557	0.4235	0.9294	1.026
DACB01000013.1_78	COG1730	1.06e-21	0.3139	0.2966	0.9448	0.9448
DACB01000013.1_79	COG0552	2.55e-114	0.4402	0.4441	1.009	0.8956
DACB01000013.1_80	COG2226	2.15e-18	0.3027	0.1387	0.458	0.4781
DACB01000016.1_1	COG0143	0	0.4745	0.4677	0.9857	0.8333
DACB01000016.1_2	COG1771	3.05e-80	0.2137	0.2378	1.113	1.006
DACB01000016.1_3	COG1710	1.73e-18	0.451	0.3309	0.7338	0.6335
DACB01000016.1_4	COG0472	6.32e-42	0.2438	0.2477	1.016	1.006
DACB01000016.1_7	COG1818	6.11e-13	0.2517	0.2114	0.84	0.8448
DACB01000016.1_9	COG4052	3.48e-11	0.3472	0.08064	0.2323	0.4417
DACB01000016.1_11	COG1087	0	0.5186	0.5076	0.9787	0.9938
DACB01000016.1_13	COG0419	7.3e-57	0.2332	0.2368	1.015	1.131
DACB01000016.1_14	COG0420	1.1e-41	0.2248	0.2231	0.9923	0.8958
DACB01000016.1_15	COG0433	2.83e-27	0.2141	0.2154	1.006	0.9739
DACB01000016.1_17	COG2814	4.3e-19	0.2198	0.1751	0.797	0.6826
DACB01000016.1_18	COG0298	2.31e-26	0.4683	0.4512	0.9634	1.026
DACB01000016.1_19	COG1249	8.93e-97	0.3128	0.3128	1	1.037
DACB01000016.1_21	COG0451	9.06e-72	0.3834	0.3822	0.9968	1.013
DACB01000016.1_23	COG0677	6.95e-164	0.4444	0.4587	1.032	0.9847
DACB01000016.1_24	COG0707	2.91e-18	0.248	0.2577	1.039	1.06
DACB01000016.1_28	COG1537	1.98e-110	0.4078	0.4148	1.017	1.014
DACB01000016.1_30	COG0287	3.88e-77	0.3105	0.3082	0.9928	0.6368
DACB01000016.1_31	COG0464	0	0.6248	0.6336	1.014	0.691
DACB01000016.1_33	COG0499	0	0.5786	0.5786	1	1.005
DACB01000016.1_34	COG4073	1.49e-68	0.4109	0.4192	1.02	0.9854
DACB01000016.1_35	COG0258	1.57e-47	0.2679	0.2903	1.084	1.021
DACB01000016.1_36	COG3161	5.96e-44	0.3415	0.3218	0.9425	0.9213
DACB01000016.1_37	COG0065	0	0.4916	0.4846	0.9858	1.005
DACB01000016.1_38	COG0119	6.21e-158	0.47	0.4401	0.9364	0.977
DACB01000016.1_39	COG1437	2.06e-56	0.4778	0.4831	1.011	1
DACB01000016.1_41	COG2101	1.17e-89	0.6044	0.5946	0.9838	1
DACB01000016.1_42	COG0560	5.61e-65	0.4183	0.4104	0.9811	0.336
DACB01000016.1_43	COG2150	4.36e-67	0.5	0.503	1.006	1
DACB01000016.1_44	COG0147	2.04e-174	0.4324	0.4221	0.9762	0.9934
DACB01000016.1_45	COG0512	5.43e-96	0.5368	0.534	0.9948	0.9896
DACB01000016.1_46	COG0134	2.88e-81	0.4223	0.4173	0.9882	0.9331
DACB01000016.1_47	COG0135	5.68e-47	0.3091	0.3269	1.058	0.9129
DACB01000016.1_48	COG0133	0	0.6701	0.6566	0.9798	0.9898
DACB01000016.1_49	COG0159	1.71e-116	0.4886	0.4868	0.9962	0.9496
DACB01000016.1_50	COG0547	1.8e-131	0.4598	0.4734	1.03	0.9886
DACB01000016.1_51	COG2019	1.76e-49	0.3517	0.3386	0.963	1.011
DACB01000016.1_52	COG2151	4.62e-17	0.2396	0.2072	0.8649	0.9796
DACB01000016.1_53	COG1549	4.17e-104	0.4169	0.2563	0.6146	1.046
DACB01000016.1_54	COG0069	2.57e-117	0.36	0.2784	0.7732	0.7545
DACB01000016.1_55	COG0028	0	0.3996	0.3909	0.9782	0.9181
DACB01000016.1_58	COG0644	1.11e-98	0.3216	0.3232	1.005	1.008
DACB01000016.1_61	COG0641	2.07e-105	0.2787	0.2698	0.9683	0.9632
DACB01000016.1_63	COG0071	2.5e-27	0.3868	0.2808	0.726	0.555
DACB01000016.1_65	COG0784	4.33e-20	0.313	0.3154	1.008	0.8973
DACB01000016.1_66	COG0784	8.32e-20	0.2481	0.2538	1.023	0.4448
DACB01000016.1_70	COG1796	1.67e-102	0.4105	0.408	0.9939	0.5714
DACB01000016.1_71	COG1039	8.71e-43	0.2917	0.2828	0.9697	1.079
DACB01000016.1_72	COG0370	0	0.3626	0.3737	1.031	1
DACB01000016.1_73	COG1321	2.03e-49	0.438	0.3896	0.8896	0.5458
DACB01000016.1_74	COG1581	9.32e-41	0.6556	0.6484	0.989	0.989
DACB01000016.1_78	COG0640	1.43e-18	0.5	0.3273	0.6545	0.605
DACB01000016.1_80	COG2524	2.06e-129	0.5483	0.5408	0.9864	0.9864
DACB01000016.1_81	COG1899	2.49e-117	0.4226	0.4119	0.9748	1.003
DACB01000016.1_83	COG0284	1.64e-52	0.2533	0.2417	0.9542	1.055
DACB01000016.1_84	COG0310	1.29e-64	0.4481	0.4657	1.039	0.9177
DACB01000016.1_85	COG1930	3.48e-35	0.5521	0.5464	0.9897	0.9412
DACB01000016.1_86	COG0619	1.57e-30	0.2891	0.2936	1.016	0.9481
DACB01000016.1_87	COG1122	1.57e-111	0.5297	0.5319	1.004	0.8429
DACB01000016.1_88	COG1148	3.2e-12	0.3708	0.05306	0.1431	0.6899
DACB01000016.1_89	COG1900	0	0.5753	0.5863	1.019	0.7308
DACB01000016.1_91	COG0312	3.85e-129	0.3628	0.37	1.02	1.02
DACB01000016.1_92	COG2078	1.39e-82	0.5556	0.5172	0.931	1.011
DACB01000016.1_93	COG1084	8.94e-122	0.4105	0.3844	0.9364	0.973
DACB01000016.1_94	COG0071	1.68e-22	0.3434	0.2329	0.6781	0.7021
DACB01000016.1_95	COG1992	1.66e-63	0.4675	0.4365	0.9337	0.9037
DACB01000016.1_97	COG1305	6.09e-26	0.2613	0.163	0.6238	0.7509
DACB01000016.1_98	COG0615	5.84e-45	0.4783	0.4714	0.9857	0.9324
DACB01000016.1_99	COG0769	8.2e-13	0.2036	0.12	0.5895	0.5773
DACB01000016.1_100	COG0574	1.62e-77	0.3541	0.2	0.5649	1.012
DACB01000016.1_102	COG0106	6.6e-102	0.4936	0.4813	0.9751	0.9916
DACB01000016.1_111	COG0863	7.88e-44	0.2603	0.2086	0.8013	1.025
DACB01000016.1_119	COG0586	2.38e-13	0.246	0.2212	0.899	0.8779
DACB01000016.1_120	COG1971	8.42e-39	0.4652	0.4579	0.9842	1.016
DACB01000016.1_121	COG0101	1.72e-85	0.4081	0.4173	1.023	1.004
DACB01000016.1_122	COG2433	1.41e-67	0.2902	0.1687	0.5813	0.9896
DACB01000016.1_123	COG0381	2.03e-154	0.4378	0.423	0.9661	0.8467
DACB01000016.1_124	COG1821	1.76e-84	0.3284	0.3616	1.101	0.9854
DACB01000016.1_125	COG1548	9.8e-130	0.4586	0.4697	1.024	0.9883
DACB01000016.1_127	COG1964	0	0.464	0.4884	1.053	1.004
DACB01000016.1_128	COG1907	1.91e-117	0.4565	0.4872	1.067	1.009
DACB01000016.1_129	COG0066	4.26e-66	0.452	0.4189	0.9267	1.086
DACB01000016.1_130	COG1326	1.52e-49	0.4112	0.403	0.9801	0.9657
DACB01000016.1_131	COG2518	2.15e-87	0.5	0.5024	1.005	0.9633
DACB01000016.1_132	COG0621	6.76e-166	0.3982	0.3982	1	1.026
DACB01000016.1_137	COG2036	4.65e-24	0.5882	0.4396	0.7473	0.7312
DACB01000016.1_138	COG1060	1.32e-149	0.4337	0.4243	0.9784	0.9731
