#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_244	106116	1051	N	N	3	*	431,244
contig_398	102850	994	N	N	2	*	398,150
contig_288	102592	995	N	N	2	*	288
contig_395	96416	22	N	N	1	*	395,-81,79,80,-66,45,55,46,47,47,56
contig_292	94707	947	N	N	2	*	116,292
contig_297	93340	229	N	N	1	*	297
contig_432	92094	1052	N	N	3	*	432,-431
contig_69	85294	22	N	N	1	*	-54,-54,-54,-53,-52,-52,-52,-52,-52,-52,-51,-51,-56,69,165,48
contig_448	81037	109	Y	N	1	*	448
contig_31	80466	15	N	N	1	*	-30,31,161,-8,379,13
contig_169	79824	34	N	N	1	*	-48,-165,169,-320,-71
contig_417	73242	982	N	N	2	*	417
contig_128	72590	169	N	N	1	*	128
contig_214	69422	1062	N	N	3	*	213,214
contig_124	66077	237	N	N	1	*	-137,124
contig_90	62685	175	N	N	1	*	87,90,399
contig_423	62284	1047	N	N	3	*	423
contig_243	62224	183	N	N	1	*	*,243,*
contig_451	61323	636	Y	N	1	*	451
contig_369	61267	758	Y	N	1	*	369
contig_92	61031	204	N	N	1	*	87,89,92,-316,-440
contig_106	58555	124	N	N	1	*	400,106
contig_84	55952	21	N	N	1	*	84
contig_122	55796	366	N	N	1	*	122,400
contig_120	54481	301	N	N	1	*	-405,120
contig_174	51137	113	N	N	1	*	413,174,175
contig_85	49790	20	N	Y	1	222	*,85,*
contig_389	48231	24	N	N	1	*	48,49,389,-48
contig_298	46971	165	N	N	1	*	298
contig_377	46139	1204	N	Y	3	*	377
contig_401	45594	316	N	N	1	*	400,401
contig_139	45365	194	N	N	1	*	-138,139,-408
contig_272	45296	222	N	N	1	*	272,-274
contig_140	45197	239	N	N	1	*	-138,140,-142,-408
contig_325	42735	167	N	N	1	*	436,325,-439
contig_155	41074	200	N	N	1	*	155,-156,-150
contig_281	40841	155	N	N	1	*	-187,418,281,-284
contig_313	40509	376	N	N	1	*	313,314,-433
contig_158	40470	109	Y	N	1	*	158
contig_315	39497	232	N	N	1	*	433,315,-439
contig_413	37896	964	N	Y	2	*	413
contig_242	37603	21	Y	Y	1	12	242
contig_212	37526	241	N	N	1	*	212,427,-418
contig_118	37021	209	Y	Y	1	4	118
contig_326	36941	170	N	N	1	*	440,316,326,-97
contig_317	36917	401	N	N	1	*	440,317,-97
contig_210	35805	170	N	Y	1	284	*,210,*
contig_74	30162	10	N	N	1	*	-54,-53,-52,-52,-52,-51,-47,-46,-55,74,443
contig_147	28887	182	N	N	1	*	-409,147,-230,-228
contig_40	27894	38	N	N	1	*	-47,-47,-46,-45,66,-388,-44,-43,40
contig_178	27773	21	N	Y	1	228	*,178,*
contig_233	27585	21	Y	Y	1	8	233
contig_372	27305	15	N	Y	1	*	372
contig_293	26893	24	N	Y	1	*	*,293,*
contig_91	26162	203	N	N	1	*	87,89,91,93,399
contig_177	26098	222	N	Y	1	228	*,177,*
contig_143	25924	187	N	N	1	*	408,143,-141,138
contig_327	25479	245	N	N	1	*	-188,-187,418,282,327,-284
contig_390	24806	28	N	N	1	*	-71,390,47,47,51,52,52,52,52,52,53,54,54
contig_408	24478	999	N	Y	2	*	408
contig_387	24060	18	N	Y	1	*	387
contig_381	23111	20	N	Y	1	*	381
contig_439	22709	255	N	Y	1	*	439
contig_86	22576	242	N	Y	1	222	*,86,*
contig_422	21653	198	N	Y	1	*	422
contig_203	21202	163	N	N	1	*	422,203
contig_283	21152	166	N	N	1	*	283,-282,-418
contig_285	21109	236	N	Y	1	284	285
contig_436	20979	794	N	Y	2	*	436
contig_154	20365	223	N	N	1	*	154,-156,-150
contig_311	19848	21	N	Y	1	302	*,311,*
contig_204	19229	177	N	N	1	*	422,204
contig_442	18697	34	N	Y	1	*	442
contig_94	18432	178	N	N	1	*	-399,-93,94,130
contig_232	18346	206	N	N	1	*	228,230,232,-231
contig_446	18263	3	N	N	1	*	*,446,*
contig_400	17977	963	N	Y	2	*	400
contig_409	17716	344	N	Y	1	*	409
contig_78	17574	40	N	Y	1	*	78
contig_407	17555	231	N	N	1	*	407,137
contig_70	17043	10	N	N	1	*	-388,-43,70
contig_144	16971	94	N	N	1	*	408,142,144
contig_247	16886	826	N	Y	2	280	*,247,*
contig_149	16842	176	N	N	1	*	*,149,-231
contig_256	16649	861	N	Y	2	290	*,256,*
contig_191	16375	212	N	Y	1	274	191,*
contig_9	16193	11	N	N	1	*	-12,-379,-7,9
contig_183	16065	219	N	Y	1	234	*,183,*
contig_410	15790	855	Y	N	2	*	410
contig_338	15787	77	N	N	1	*	444,335,337,444,338
contig_254	15542	468	N	N	1	*	216,254,324,-436
contig_440	15538	487	N	Y	1	*	440
contig_159	15399	175	N	N	1	*	-400,159
contig_229	15302	410	N	N	1	*	229
contig_95	15289	234	N	N	1	*	-399,-93,95,-88
contig_82	14214	13	N	N	1	*	-54,-54,-53,-52,-52,-51,-56,-47,-47,-46,-55,-45,66,-80,82
contig_153	13983	184	N	N	1	*	153,-150
contig_329	13592	3	N	N	1	*	443,329
contig_192	13267	226	N	Y	1	274	192
contig_194	12872	265	N	Y	1	274	194
contig_145	12804	94	N	N	1	*	145,409
contig_197	12719	728	N	Y	2	282	197
contig_273	12585	207	N	N	1	*	271,273,-274
contig_206	12559	17	N	N	1	*	206,-381
contig_136	12360	200	N	N	1	*	136,-141,137
contig_193	12334	240	N	Y	1	274	193
contig_343	12218	3	N	N	1	*	*,343,*
contig_248	12121	22	N	Y	1	280	*,248,*
contig_445	11981	16	N	N	3	*	*,445,-344
contig_344	11856	6	N	Y	2	*	344
contig_416	11635	21	Y	Y	1	132	416
contig_190	11503	27	N	Y	1	274	*,190
contig_443	11373	10	N	Y	1	*	443
contig_150	11344	433	N	Y	1	*	150
contig_246	11316	295	N	N	1	*	246,324
contig_307	11198	209	Y	Y	1	36	307
contig_306	11194	171	Y	Y	1	34	306
contig_310	11194	483	N	Y	1	302	*,310,*
contig_176	11021	349	N	N	1	*	-175,176
contig_348	10979	3	N	N	1	*	*,348,*
contig_172	10776	22	N	N	1	*	-48,-165,172
contig_12	10705	20	N	Y	1	*	12
contig_179	10435	21	N	Y	1	232	*,179,*
contig_83	10300	27	N	Y	1	*	83
contig_294	10167	181	Y	Y	1	30	294
contig_321	10128	16	N	Y	1	306	*,321,*
contig_438	9896	21	Y	Y	1	180	438
contig_449	9583	24	N	Y	1	*	449
contig_328	9570	10	N	N	1	*	443,328,*
contig_240	9448	20	N	Y	1	242	*,240,*
contig_301	9159	234	Y	Y	1	218	301
contig_205	9138	97	N	N	1	*	-422,205
contig_127	9128	645	N	N	1	*	127,130
contig_196	9122	1999	Y	N	5	*	196
contig_221	9117	22	N	Y	1	258	221
contig_267	9028	202	N	Y	1	262	*,267,*
contig_358	8904	3	N	N	1	*	*,358,*
contig_24	8868	14	N	Y	1	254	*,24,*
contig_268	8856	72	N	Y	1	262	*,268,*
contig_101	8818	217	N	Y	1	258	101
contig_426	8678	20	N	Y	1	284	426,*
contig_352	8651	9	N	Y	1	256	*,352,*
contig_186	8409	20	N	Y	1	234	*,186,*
contig_437	8406	863	N	Y	2	268	*,437,*
contig_264	8355	899	N	Y	2	260	*,264,*
contig_333	8277	3	N	N	1	*	*,333,*
contig_354	8264	3	N	N	1	*	*,354,*
contig_378	8248	20	N	Y	1	252	*,378,*
contig_367	8106	3	N	N	1	*	*,367,*
contig_20	8011	12	N	N	1	*	20
contig_129	8004	427	Y	Y	1	124	129
contig_72	7947	37	N	N	1	*	-54,-54,-53,-52,-52,-52,-52,-52,-52,-51,-47,-46,72
contig_259	7915	394	N	Y	2	288	*,259
contig_4	7858	933	N	Y	2	252	*,4,*
contig_5	7837	757	N	N	757	*	*,5,*
contig_287	7821	242	Y	Y	1	150	287
contig_126	7687	828	N	Y	2	264	*,126,*
contig_125	7477	20	N	Y	1	264	*,125,*
contig_279	7417	20	Y	Y	1	202	279
contig_76	6883	10	N	N	1	*	-52,-52,-51,-56,-47,-47,-46,-55,76
contig_342	6742	3	N	N	1	*	*,342,*
contig_103	6450	464	N	Y	1	258	103
contig_305	6382	20	N	Y	1	240	*,305,*
contig_286	6292	228	Y	Y	1	182	286
contig_346	6260	3	N	N	1	*	*,346,*
contig_218	6198	326	Y	Y	1	*	218
contig_364	6164	3	N	N	1	*	*,364,*
contig_386	6101	132	N	N	1	*	*,386,*
contig_359	5955	3	N	N	1	*	*,359,*
contig_339	5916	3	N	N	1	*	*,339,*
contig_312	5882	102	N	N	1	*	*,312,*
contig_252	5803	195	Y	Y	1	206	252
contig_227	5612	319	N	N	1	*	*,227,*
contig_236	5541	223	N	N	1	*	88,236
contig_111	5531	218	N	N	1	*	111
contig_157	5432	230	N	Y	1	248	*,157,*
contig_360	5402	4	N	N	1	*	*,360,*
contig_441	5358	81	Y	N	1	*	441
contig_100	5332	256	N	Y	1	258	100
contig_10	5331	13	N	N	1	*	-12,-379,-7,10
contig_19	5197	6	N	N	1	*	19
contig_113	5119	583	N	N	1	*	110,113
contig_250	4964	823	N	Y	2	270	*,250,*
contig_238	4886	20	N	Y	1	244	*,238,*
contig_123	4863	69	Y	Y	1	122	123
contig_235	4736	194	Y	Y	1	184	235
contig_356	4712	3	N	Y	1	304	*,356,*
contig_349	4640	3	N	N	1	*	*,349,*
contig_119	4581	19	Y	Y	1	168	119
contig_258	4460	30	N	Y	1	288	*,258
contig_200	4422	6	N	Y	1	276	*,200,*
contig_318	4381	4	N	N	1	*	*,318,*
contig_277	4334	451	N	Y	1	296	*,277,*
contig_98	4197	422	N	Y	1	258	*,98
contig_132	4188	202	N	Y	1	266	*,132
contig_195	4152	20	N	Y	1	274	195,*
contig_202	4126	193	N	Y	1	278	*,202,*
contig_184	4025	239	N	Y	1	234	*,184,*
contig_107	3957	485	N	N	1	*	*,107,*
contig_322	3919	11	N	N	1	*	322,-319,*
contig_215	3745	397	N	Y	1	196	215,*
contig_225	3721	6	N	Y	1	286	*,225,*
contig_428	3642	2878	N	Y	7	196	428
contig_114	3628	1183	N	Y	3	164	114
contig_201	3596	16	N	Y	1	278	*,201,*
contig_48	3580	3	N	Y	1	*	48
contig_368	3490	4	N	N	1	*	*,368,*
contig_255	3483	187	Y	Y	1	208	255
contig_189	3473	265	N	Y	1	274	*,189
contig_37	3326	17	N	N	1	*	*,37,*
contig_135	3301	512	N	N	1	*	135
contig_289	3299	125	Y	Y	1	148	289
contig_263	3262	144	Y	Y	1	174	263
contig_115	3233	798	N	Y	2	164	115,*
contig_350	3189	4	Y	Y	1	118	350
contig_209	3172	5	N	Y	1	*	209
contig_420	3031	29	N	Y	2	*	*,420
contig_249	3001	16	Y	Y	1	204	249
contig_185	2991	169	N	Y	1	234	*,185,*
contig_64	2904	6	N	N	1	*	48,49,64
contig_237	2890	48	N	Y	1	244	*,237,*
contig_14	2860	3	N	N	1	*	*,14,*
contig_253	2710	472	N	N	2	*	253,-216
contig_112	2673	175	N	N	1	*	110,112
contig_36	2510	49	N	N	1	*	*,36,*
contig_6	2460	24	N	N	1	*	*,6,*
contig_276	2441	321	N	Y	1	294	*,276,*
contig_182	2438	4	N	Y	1	230	*,182,*
contig_220	2418	234	N	Y	1	238	*,220,*
contig_102	2390	472	N	Y	1	258	102,*
contig_280	2302	6	N	Y	1	274	280
contig_241	2255	443	N	Y	1	242	*,241,*
contig_181	2203	89	N	Y	1	230	*,181,*
contig_219	2173	19	N	Y	1	238	*,219,*
contig_134	2170	634	N	Y	1	266	134
contig_415	2096	745	N	Y	2	232	*,415,*
contig_151	2063	162	N	Y	1	226	*,151,*
contig_104	1881	56	N	Y	1	258	104,*
contig_133	1757	428	N	Y	1	266	133
contig_251	1716	22	N	Y	1	270	*,251,*
contig_299	1693	432	N	Y	1	272	*,299,*
contig_96	1636	229	N	N	1	*	96
contig_308	1632	282	N	Y	1	300	*,308,*
contig_234	1618	497	N	N	1	*	234
contig_290	1597	153	N	Y	1	246	*,290,*
contig_295	1587	354	N	Y	1	298	*,295,*
contig_304	1587	149	N	Y	1	240	*,304,*
contig_211	1503	12	N	Y	1	284	*,211
contig_265	1448	20	N	Y	1	260	*,265,*
contig_266	1375	135	N	Y	1	262	*,266,*
contig_278	1368	3	N	Y	1	296	*,278,*
contig_152	1365	10	N	Y	1	226	*,152,*
contig_226	1308	31	N	Y	1	286	*,226,*
contig_108	1253	64	N	Y	1	224	*,108,*
contig_262	1158	20	N	Y	1	268	*,262,*
contig_75	1052	11	N	N	1	*	75
contig_57	743	12	N	Y	1	*	57
contig_15	683	20	N	Y	1	158	15
contig_131	653	5	N	Y	1	266	*,131
contig_261	621	594	N	Y	1	288	261,*
contig_16	602	14	N	Y	1	158	16
contig_17	575	31	N	Y	1	158	17
contig_303	534	171	N	Y	1	236	*,303,*
contig_50	514	4	Y	Y	1	116	50
