contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
NODE_1_length_174676_cov_75.610868.11,1.23878541e+00,3.74391999e+00,6.87446574e-02,-9.33001022e-01,-2.73844159e-01,1.03643521e-01,-2.56231008e-01,5.69635628e-01,-2.32831074e-01,-5.43621976e-01,-2.71280865e-01,7.30383986e-02,-1.60151901e-03,1.06772550e-01,5.40769204e-01,2.13265713e-01,2.69074413e-02,-1.86988070e-01,9.90721541e-02,-4.68319058e-03,-3.45536924e-01
NODE_1_length_174676_cov_75.610868.12,1.10445559e+00,4.13880478e+00,-2.59427422e-01,-5.91682881e-01,-4.02640534e-01,-1.24335389e-01,-2.25401486e-01,3.27088326e-01,-1.23455707e-01,-2.00635886e-01,-3.47728581e-01,1.71524268e-01,-9.56244825e-02,1.56713145e-03,-2.57258121e-01,-3.26866715e-02,7.54332322e-02,-3.56578402e-02,-2.17147340e-01,1.83466762e-01,-1.23873557e-01
NODE_1_length_174676_cov_75.610868.13,-2.14592351e-01,3.56531134e+00,-8.61807247e-01,-4.52456760e-01,2.37002394e-01,-2.38670261e-01,-4.12811682e-01,3.70785400e-01,4.31439805e-01,-2.83641808e-01,-2.54568349e-01,2.15123873e-01,8.67264119e-01,-2.59261842e-01,-1.44040291e-01,1.88903612e-01,8.10432742e-02,1.81225086e-01,-6.27725117e-01,-7.70659010e-02,-6.52233081e-02
NODE_1_length_174676_cov_75.610868.14,-1.36039781e-01,4.07051987e+00,-5.41452115e-01,-1.94522922e-01,1.20211591e-02,-2.52132265e-01,-1.49362426e-01,-2.30920021e-01,-1.94283268e-01,1.11337538e-01,-1.33083979e-01,1.39353274e-01,-1.56185935e-02,-4.60523529e-01,-9.35337854e-02,-7.25557977e-02,1.73918722e-01,-2.54612574e-01,-6.03479627e-02,-6.36289636e-02,-2.66725719e-01
NODE_1_length_174676_cov_75.610868.15,6.44397413e-01,3.67875319e+00,-1.17203855e-01,-6.40574647e-01,-3.63960456e-01,3.70267505e-02,-4.97768054e-01,1.73632732e-02,9.06369588e-02,-1.63447614e-01,-2.21441823e-01,1.42739342e-02,2.63006950e-02,-6.84093435e-02,1.92128340e-02,1.92048171e-01,-1.76102069e-01,6.04000089e-02,2.26821857e-01,-8.81734664e-02,3.31829527e-03
NODE_2_length_162612_cov_78.117187.0,1.87127185e+00,4.44408340e+00,6.31098983e-01,-4.87618232e-01,-6.16129510e-01,-2.32319915e-01,-1.53781980e-01,-6.38774239e-02,3.00813869e-01,-2.27544402e-01,1.72863694e-01,2.70490339e-01,2.47980077e-01,1.42791785e-01,4.57453272e-02,-1.76519479e-01,2.96124814e-02,-6.73281216e-02,-2.15536225e-01,-1.39203658e-01,4.45163216e-01
NODE_2_length_162612_cov_78.117187.1,-2.90727038e-01,4.39608672e+00,7.41969976e-02,1.07914685e-01,4.81294014e-01,-4.68935751e-01,3.50967926e-02,-3.15890105e-01,-2.07092521e-01,-3.60806974e-01,-1.52277861e-01,-4.63309757e-01,-6.35822259e-01,-3.78565053e-01,-1.11729580e-01,3.93862329e-01,6.61104700e-02,1.98540130e-02,-1.74945586e-01,1.06833845e-01,-3.59736012e-01
NODE_2_length_162612_cov_78.117187.2,9.89458224e-01,4.67850447e+00,-5.23599947e-02,-6.94391317e-01,2.85675813e-01,9.24184652e-02,5.28738195e-01,4.01725703e-01,2.88370192e-01,2.09256840e-01,-2.58730281e-01,-1.03868881e-01,-1.35336457e-02,2.43617425e-01,-1.03524628e-02,1.24057619e-01,4.59631009e-03,1.91660737e-01,-6.25218852e-01,1.29327509e-01,3.17333967e-03
NODE_2_length_162612_cov_78.117187.3,-1.33667644e+00,3.09850015e+00,-2.87148750e+00,4.50432183e-01,-9.35737713e-02,-3.63614354e-01,-3.16123758e-01,7.28948222e-01,8.83282709e-02,4.79772641e-02,-4.16613215e-01,-1.18799720e-01,1.49718924e-01,1.63900923e-01,-2.69750489e-01,-4.44780437e-01,3.73099981e-01,-2.36680164e-02,1.98178932e-01,2.05141799e-01,7.63729757e-02
NODE_2_length_162612_cov_78.117187.4,1.10543074e+00,4.36064836e+00,-2.43760707e-01,-3.16406743e-01,-4.86002137e-01,-1.65520732e-01,-2.22284092e-01,7.82239348e-03,-6.03078527e-02,4.67888773e-02,-2.70892384e-01,-7.58836518e-02,9.96744441e-02,3.04414368e-01,2.57705050e-01,-8.53372583e-02,5.07477996e-02,4.94466526e-01,3.07006106e-02,1.86768954e-01,-1.85334590e-01
NODE_2_length_162612_cov_78.117187.5,3.44937108e-01,4.37848499e+00,-3.56524259e-01,-5.48976302e-02,-1.02547324e-01,-3.82087443e-01,-1.48256427e-01,2.04197683e-02,-6.80399928e-03,-3.63910089e-02,-1.71622385e-01,-5.52915890e-01,-9.88430902e-02,-4.73820452e-01,5.80471939e-01,-2.47286881e-01,1.94555650e-01,-7.67379564e-02,-3.29733007e-01,4.14202053e-03,3.31905250e-03
NODE_2_length_162612_cov_78.117187.6,1.29678738e+00,4.55288289e+00,9.17209372e-01,-5.49294227e-01,-3.66172324e-01,-1.10733968e-01,1.18843478e-01,-3.78236907e-01,4.90810375e-01,4.08577842e-01,2.63158028e-01,-2.46828998e-01,2.87197113e-01,-1.07096342e-01,2.25873482e-01,1.81666871e-01,-1.42950805e-01,-3.50704628e-01,-3.68635341e-01,8.55522181e-02,-3.67035576e-01
NODE_2_length_162612_cov_78.117187.7,1.91938120e+00,4.20752613e+00,7.87522321e-01,-8.17295818e-01,-3.69995391e-01,-2.58658345e-01,2.18656637e-01,1.49237747e-01,3.99988601e-01,-2.30357474e-01,-8.05275660e-02,-1.57996001e-01,3.46316573e-01,-1.78460327e-02,3.85588389e-02,8.11944432e-02,-2.00041521e-01,8.24803775e-02,-1.82008530e-01,1.59216056e-01,-8.04784680e-02
NODE_2_length_162612_cov_78.117187.8,2.41055690e+00,3.89519867e+00,9.10948123e-01,-1.11989538e+00,-7.49658394e-01,1.92915875e-01,-3.82690727e-01,1.54408786e-01,6.58644281e-01,-2.96191782e-01,-3.46398434e-01,-4.26258794e-01,-4.11623950e-01,5.56213516e-01,-1.85698618e-01,1.58865676e-01,-2.59568890e-01,8.14421333e-02,-4.11491813e-01,-7.12274664e-02,-6.40367480e-02
NODE_2_length_162612_cov_78.117187.9,1.26466083e+00,4.36386280e+00,3.69123620e-01,-7.61614354e-01,-4.18180686e-01,5.59238977e-02,3.49416862e-02,-1.02587051e-01,7.06918397e-02,-1.04682978e-02,4.17307930e-03,1.42590226e-01,-2.42421314e-01,-1.02504708e-02,-2.63663491e-01,2.21648642e-01,1.63130112e-01,4.32262830e-02,-9.65716594e-02,3.43783853e-01,1.83668693e-01
NODE_2_length_162612_cov_78.117187.10,5.37620061e-01,3.94635915e+00,-7.05555573e-01,-5.23214620e-01,-4.57290077e-01,1.36052913e-01,-3.62646233e-01,1.40321485e-01,1.76693895e-01,3.22375265e-01,-2.15634563e-01,-5.89386667e-01,-2.41876839e-01,4.49960306e-01,-9.75966317e-02,-6.24325084e-02,1.63026031e-01,-2.55450795e-02,-3.60046019e-02,8.53343257e-04,-6.10844623e-02
NODE_2_length_162612_cov_78.117187.11,1.59821374e+00,5.25632718e+00,6.48846497e-02,-9.20845158e-01,-4.70943654e-01,-7.38920139e-03,4.11964443e-01,2.70324129e-01,-1.77415765e-01,7.52648847e-02,-3.18721831e-01,-3.35935643e-01,-5.05359585e-01,-4.26779593e-01,-6.73834989e-02,1.14820859e-01,-1.02825810e-01,2.39264277e-01,-4.89935088e-01,6.08566212e-02,-1.24590297e-01
NODE_2_length_162612_cov_78.117187.12,5.92706320e-01,4.33481616e+00,-4.34745762e-01,-3.69334486e-01,-1.07799191e-01,-2.91199731e-01,-1.96522184e-01,4.56368624e-01,-1.37988841e-01,-1.82832878e-01,-4.27593502e-01,-3.63279783e-01,-2.28282140e-01,3.06929881e-01,-5.13114489e-02,4.16039135e-02,-1.79327475e-01,-2.76656881e-01,-1.18516068e-01,-4.92446785e-02,-2.49316518e-01
NODE_2_length_162612_cov_78.117187.13,9.51204665e-01,3.84970642e+00,-7.78721107e-02,-3.66765003e-01,-3.36782481e-01,-8.57899366e-03,1.04865076e-01,4.58751295e-02,3.09103016e-01,-3.54742465e-02,-5.85315184e-01,-2.89147492e-02,2.13199086e-01,2.44640810e-01,-7.88528930e-03,5.07136188e-01,-7.07500907e-02,9.59552445e-03,3.82490889e-03,4.57011596e-01,-1.01263197e-01
NODE_2_length_162612_cov_78.117187.14,-5.96483027e-01,3.27406139e+00,-1.66076646e+00,3.07008888e-01,-1.42726637e-01,-1.20653170e-01,4.30988636e-01,1.16112841e-01,-1.08447882e-01,-3.43500388e-01,2.41717853e-01,-1.01800344e-01,-1.69564781e-01,6.41740396e-02,-1.23359889e-01,8.36141416e-02,3.93761477e-01,6.57262752e-02,5.91179521e-02,-8.87180963e-02,4.15713152e-02
NODE_3_length_156794_cov_85.676493.0,-1.83695903e-01,3.72619705e+00,-1.08169708e+00,-5.30868486e-01,1.52041157e-01,1.37153592e-01,-8.16950932e-01,1.91543456e-01,1.30158516e-01,-2.40822746e-01,8.83841443e-02,-7.26472025e-02,5.12997131e-01,2.74056844e-01,5.31790848e-02,-1.25642884e-01,4.19303217e-01,-2.27857324e-01,-1.60293179e-01,-3.31012012e-02,-4.32003683e-01
NODE_3_length_156794_cov_85.676493.1,1.42764124e+00,3.68594201e+00,2.37721462e-01,-7.03937453e-01,-2.97152155e-01,-1.00952720e-01,-1.38719413e-01,2.70760779e-01,-2.34057189e-01,-4.21167572e-01,2.59752659e-01,9.21149574e-02,2.67602148e-01,-1.79691679e-01,1.72915715e-01,-9.60107047e-02,-9.15656899e-02,-2.42695636e-01,8.41868405e-02,-3.26148275e-02,2.12266332e-01
NODE_3_length_156794_cov_85.676493.2,2.89034456e-01,3.51088082e+00,-2.03677078e-01,-5.14664390e-01,-8.36716280e-02,-8.55850367e-02,-3.06438031e-01,1.97957169e-02,-1.43974019e-01,-2.40057335e-01,5.27142424e-02,-1.73512719e-02,2.52286297e-01,1.13173897e-01,-3.31398360e-01,-3.24344729e-02,4.94007585e-01,-3.48802354e-01,3.44057734e-01,-5.45779539e-02,-1.67638408e-01
NODE_3_length_156794_cov_85.676493.3,-4.31262201e-02,3.99687180e+00,-6.32885826e-01,-6.61183355e-02,-3.18378803e-01,-8.81266039e-02,-5.84778614e-02,-1.45894818e-01,-1.77534528e-01,2.85632795e-01,1.94427936e-01,1.11829110e-01,-4.62382669e-02,-1.94427270e-02,-1.75485584e-01,-1.38026646e-01,-1.97038578e-01,-1.74181270e-01,3.41122698e-01,4.60391874e-02,-2.90192543e-02
NODE_3_length_156794_cov_85.676493.4,7.47380608e-02,3.84226584e+00,-2.33942097e-01,-2.58475047e-01,-1.23596667e-01,1.63110093e-01,9.20010349e-02,-3.07904398e-01,-4.84628868e-01,-2.78086198e-02,6.57514682e-01,-2.55845097e-01,2.90866309e-01,-4.10149959e-01,3.08412608e-01,-1.86045252e-01,1.32437551e-01,-7.28378387e-02,1.48027899e-01,4.75960643e-02,-1.69444991e-01
NODE_3_length_156794_cov_85.676493.5,6.07687383e-02,3.82915329e+00,-7.32617654e-01,-1.57602342e-01,-3.49813566e-01,1.06448534e-01,2.44625242e-01,-4.62601942e-01,-7.93280453e-02,4.52380999e-01,5.15295322e-01,1.70719115e-01,9.20052895e-02,4.62957095e-01,-5.18372715e-01,-1.03102860e-01,-3.32468346e-01,1.48988247e-02,1.40131810e-01,-9.83201792e-02,2.87078382e-01
NODE_3_length_156794_cov_85.676493.6,4.65336799e-01,3.81632769e+00,-7.13805827e-01,-7.87762369e-01,-4.68846895e-01,3.35204018e-02,-3.97882776e-01,1.53955458e-01,2.86155944e-01,-4.14882421e-03,5.58001709e-02,-3.30979561e-01,-4.60025295e-01,8.76093900e-02,-1.67543176e-01,1.40094772e-01,-2.71294794e-02,1.15129066e-01,-3.59416574e-01,-1.90496764e-01,-1.64110107e-01
NODE_3_length_156794_cov_85.676493.7,-3.03124230e-01,4.27929499e+00,-1.20990608e+00,-1.08114576e+00,4.61515477e-01,5.08077018e-01,4.71862010e-01,3.67058301e-02,-3.42235948e-01,3.68686365e-01,-1.65880795e-01,-4.73790570e-02,-2.21088466e-01,1.01052125e-01,3.00852290e-01,-1.30627548e-01,4.71963434e-01,4.35007117e-01,2.00608707e-02,-1.94189551e-01,-1.84491645e-02
NODE_3_length_156794_cov_85.676493.8,5.31403041e-01,4.29208701e+00,-5.39305239e-01,-1.85180224e-01,-6.49712501e-01,-7.85174700e-01,-3.08007634e-01,-9.17587121e-02,5.42224698e-01,3.53234450e-02,2.25912633e-01,-3.18572362e-01,1.97824284e-01,-9.88810042e-02,1.08025321e-01,1.93757786e-02,1.21115824e-01,1.45214601e-01,-1.40192999e-01,3.81446409e-01,5.48552599e-01
NODE_3_length_156794_cov_85.676493.9,1.03986345e+00,3.95676851e+00,-2.32787324e-01,-6.50829088e-01,-3.87337151e-01,-4.07663513e-01,2.93245920e-02,2.30107650e-01,-4.64458116e-03,-3.97696332e-01,-1.68488859e-01,-3.38815892e-02,3.28970250e-01,6.50250272e-02,5.84949093e-02,8.68349222e-03,1.55863985e-01,1.41730529e-01,9.40059284e-04,2.17451586e-01,5.11975585e-02
NODE_3_length_156794_cov_85.676493.10,7.91134426e-04,3.96570052e+00,-9.94525188e-01,-3.03521920e-01,-1.97469262e-02,-2.15806946e-01,-6.78260358e-03,2.00556920e-01,-1.29241805e-01,1.21260241e-02,1.93386735e-01,-1.60652306e-01,-5.60818660e-02,3.47035879e-01,-8.65682923e-02,1.50004047e-01,-2.17314183e-01,-1.33612099e-01,-8.81687957e-02,1.37802197e-01,1.89954527e-02
NODE_3_length_156794_cov_85.676493.11,1.32819185e-01,4.16943389e+00,-4.77075456e-01,-3.15009151e-01,9.52764333e-02,-5.10443814e-01,1.53373671e-01,-1.11611462e-01,-2.67179168e-02,-1.61964520e-01,-8.09839055e-02,2.35703761e-01,-9.41755183e-02,-2.74715585e-01,2.64356125e-01,3.02553119e-02,6.09032663e-02,1.05981306e-01,-2.67315418e-01,1.09875353e-01,-1.39824126e-01
NODE_3_length_156794_cov_85.676493.12,-6.60437103e-01,4.34595172e+00,-7.75007924e-01,-3.61161270e-01,7.09243134e-01,-2.46181594e-02,7.88531724e-01,5.99122264e-02,-3.76850506e-01,1.11999854e-01,-7.21931141e-02,5.65066230e-02,-9.61692635e-03,-1.19125768e-01,3.13265677e-01,1.41146344e-01,4.74133795e-01,-2.27471623e-01,9.65373903e-03,-2.38672582e-01,-4.06676991e-01
NODE_3_length_156794_cov_85.676493.13,6.65057133e-01,4.34998675e+00,-2.36289334e-03,-7.15092367e-01,2.87043228e-01,1.54249404e-01,-5.39274602e-02,3.48391520e-02,-3.07177166e-02,-4.95756645e-02,1.36156539e-01,-1.73313248e-01,-2.32307225e-01,-1.57260629e-01,3.17376015e-01,-3.29190132e-02,-3.53898126e-01,-2.96059220e-02,-2.14936393e-01,-2.24231886e-01,-5.41492972e-01
NODE_4_length_156707_cov_15.332159.0,1.03987646e+01,-1.18351687e+00,2.51394985e-01,1.23514434e-01,1.40649877e-01,1.20086741e-01,-1.55638973e-01,6.24803349e-02,-2.86543277e-01,-3.51479024e-01,-9.10814737e-02,3.07388174e-01,3.72859412e-02,2.99945789e-01,3.80446322e-01,3.75236331e-01,7.79478928e-02,3.26787532e-01,8.20612639e-02,3.31393321e-01,3.59376412e-01
NODE_4_length_156707_cov_15.332159.1,1.20566437e+01,-1.67788429e+00,-7.57394484e-02,-1.43675851e-01,1.12519101e+00,-9.87120917e-01,3.60135844e-01,-1.75631017e-01,9.83976215e-02,-5.13496221e-01,-2.40151828e-01,2.62485937e-01,-1.04613403e-03,3.78979488e-01,2.02328147e-01,-1.42907203e-01,-6.27375465e-02,-1.83126749e-02,1.37223639e-01,4.80576902e-01,5.57202550e-02
NODE_4_length_156707_cov_15.332159.2,1.17132828e+01,-1.83543730e+00,3.43649098e-01,-2.46387286e-01,3.18240964e-01,-8.34645952e-01,6.11615606e-01,1.29310175e-01,2.03468345e-01,-1.64442979e-01,-2.60146371e-01,1.99945491e-01,-9.00332770e-02,1.28371207e-01,1.84989922e-02,2.41761766e-01,-1.06767636e-01,5.54749230e-02,-2.96765504e-02,-3.31889086e-01,-5.76577504e-02
NODE_4_length_156707_cov_15.332159.3,1.17593188e+01,-2.49744991e+00,-3.04642159e-01,-3.38784018e-01,1.52154247e-01,-7.26302350e-01,3.56079574e-01,8.83869200e-01,1.04606457e-01,2.01503026e-01,2.16428677e-01,-4.63635990e-01,-1.92927621e-01,-3.99302474e-01,-5.57431793e-01,3.69904786e-02,2.30816297e-01,2.61746319e-02,-3.27542487e-02,-6.17800170e-01,-4.23152020e-01
NODE_4_length_156707_cov_15.332159.4,1.16132522e+01,-1.75741299e+00,-4.59168088e-01,-5.04991404e-01,6.39176894e-01,-6.65448443e-01,4.37736496e-01,8.72787048e-01,-3.94853691e-01,6.23436819e-01,3.91527537e-01,-2.75719566e-02,-8.56237472e-02,-4.66847085e-01,-7.99872411e-02,5.82092641e-01,4.17443388e-01,-2.89747253e-01,5.05719476e-02,-3.68351627e-01,1.17203528e-01
NODE_4_length_156707_cov_15.332159.5,1.16417058e+01,-2.03452477e+00,-7.10329483e-01,-3.15286998e-01,4.40459042e-01,3.32893577e-03,-3.67980752e-01,4.13780461e-01,-4.53427033e-01,7.54242141e-01,4.27616002e-01,-3.99007335e-01,-9.42555531e-02,-3.59752185e-01,-1.51523025e-01,2.92009510e-01,1.63706448e-01,-3.19012590e-01,-6.38507918e-02,7.08902963e-02,-3.49071402e-01
NODE_4_length_156707_cov_15.332159.6,1.15660936e+01,-1.84031082e+00,1.19372804e-01,-3.07292281e-01,-2.71796046e-01,-2.80786765e-01,4.89925844e-01,2.44485340e-01,2.84603497e-02,7.72522879e-01,2.76647942e-01,-2.83065491e-03,4.48124556e-01,-3.55207696e-01,-1.56161884e-01,1.56025100e-01,3.37723585e-01,-1.39030179e-01,4.38148424e-01,-7.17674154e-01,-7.32471610e-01
NODE_4_length_156707_cov_15.332159.7,1.20732377e+01,-2.04041493e+00,-7.00029357e-01,-4.88388903e-01,1.07147605e+00,-5.91388980e-01,7.03507753e-01,4.60039134e-01,5.37755817e-01,-6.60036287e-02,-4.96221186e-01,-1.80447092e-01,-3.12126967e-01,1.76262643e-01,2.55759174e-02,-4.45866820e-01,-4.07959274e-01,9.12185400e-02,-1.09111051e-01,3.84463012e-02,-9.29156532e-02
NODE_4_length_156707_cov_15.332159.8,1.17581676e+01,-1.90460331e+00,-5.54544137e-01,-4.87555662e-02,1.18488066e+00,-7.54396211e-01,-1.21201575e-01,-8.45214108e-01,-2.30642186e-01,7.83863251e-01,2.06175602e-01,8.84265563e-02,1.66290622e-02,2.25154939e-01,8.16562693e-02,6.48233698e-02,-1.63919821e-01,-9.17875711e-02,-2.34257290e-01,1.81690503e-01,-3.23152994e-02
NODE_4_length_156707_cov_15.332159.9,1.09941499e+01,-1.30558078e+00,1.67325832e-01,-1.08396982e-01,-1.10389686e-02,-3.84340031e-01,6.21625772e-01,5.26105501e-01,-1.22726717e+00,4.18339058e-01,7.84633358e-02,-5.03375523e-02,-2.44572183e-01,-9.57226564e-02,7.43062625e-02,9.75434507e-01,4.20837601e-01,-2.63713374e-02,8.25428400e-02,5.37521501e-02,3.23473224e-01
NODE_4_length_156707_cov_15.332159.10,1.11162554e+01,-1.81137733e+00,4.42546180e-01,-5.90353305e-01,-6.24771440e-01,1.47356675e-01,-8.58889740e-02,8.55955870e-01,4.03300048e-01,4.60527409e-01,-1.66348392e-01,-4.67818823e-01,-1.11663580e-01,-5.04238580e-01,-4.55550778e-01,7.35934717e-01,1.52737315e-01,-3.16232454e-01,-3.17672961e-01,-6.04916290e-02,-1.76595840e-01
NODE_4_length_156707_cov_15.332159.11,1.11598909e+01,-2.30750385e+00,-6.39165925e-01,-3.13523439e-01,1.25851249e-01,-2.45634574e-02,1.01660873e+00,3.01948389e-01,-2.48171394e-01,-6.54353295e-01,-1.62960057e-01,-2.35574610e-02,2.69909250e-01,-4.73011183e-01,-1.67789705e-01,-4.95195975e-01,-6.82367489e-01,1.44080447e-01,-2.84954792e-01,7.62633417e-01,4.69922257e-01
NODE_4_length_156707_cov_15.332159.12,1.14755528e+01,-2.22830250e+00,-8.77188730e-01,-8.72003866e-02,8.88825569e-01,-5.76145596e-01,2.05415891e-01,-2.23324517e-01,2.19930645e-01,-1.71033276e-01,-2.29761237e-01,-1.79260680e-01,7.92603762e-02,5.05557028e-02,5.45294359e-02,-8.51703392e-01,-3.41394665e-01,-3.56318467e-02,-1.68474421e-01,6.28723125e-01,-2.79838651e-02
NODE_4_length_156707_cov_15.332159.13,1.28541357e+01,-1.94336048e+00,-4.30332566e-01,-4.86673545e-01,1.68166982e+00,-1.01725454e+00,1.33709808e-01,3.48963155e-01,3.89445112e-01,8.50857976e-02,-2.56643868e-01,1.04069212e-01,-3.96990739e-02,3.44468529e-01,4.07120730e-01,1.92927986e-01,2.50339340e-02,-2.00854838e-01,-3.37616539e-01,-1.69067734e-01,3.07574242e-01
NODE_5_length_138743_cov_15.678321.0,1.25243902e+01,-2.21879329e+00,-6.20746850e-01,-2.61839476e-02,1.33391004e+00,-6.43787811e-01,-2.46574536e-01,-1.88257074e-01,-2.10332296e-01,4.29973990e-01,1.07853266e-01,1.15987335e-01,1.68279843e-01,-1.20957092e-01,-5.36718726e-02,2.83255534e-02,-4.73070157e-02,2.24291930e-01,-1.12247220e-01,2.22300762e-01,1.56346813e-01
NODE_5_length_138743_cov_15.678321.1,1.23291394e+01,-1.80554129e+00,-2.22171096e-01,-1.08239138e-01,1.32184786e+00,-9.28666861e-01,1.74736326e-01,-6.16092212e-01,-3.06441401e-02,5.19560607e-01,3.04008780e-01,1.35716218e-01,-2.42452962e-02,2.94812900e-01,2.72830504e-01,3.74565714e-01,-2.56071327e-01,1.18292359e-01,-7.53271372e-02,-3.50164793e-02,4.16365495e-01
NODE_5_length_138743_cov_15.678321.2,1.20906636e+01,-1.40066601e+00,1.32193462e+00,-4.54298121e-01,4.77492121e-01,-7.31789278e-01,4.03787453e-01,-4.26123055e-02,6.26547259e-01,-1.33478132e-01,-7.56111749e-01,1.99897396e-01,-2.12712276e-01,8.24466146e-01,2.46431882e-01,4.87068144e-01,5.58777809e-01,2.24769053e-01,5.81128221e-02,-3.23639225e-01,-9.70363241e-02
