Query	Subject	Evalue	PID	Subject_Pid	Coverage	Query_coverage
NODE_2_length_162612_cov_78.117187_113	COG3356	2.86e-124	0.3416	0.3564	1.043	0.995
NODE_3_length_156794_cov_85.676493_9	COG1606	6.61e-70	0.4209	0.4052	0.9628	0.7379
NODE_3_length_156794_cov_85.676493_44	COG0471	2.1e-59	0.287	0.2863	0.9978	1
NODE_3_length_156794_cov_85.676493_70	COG1325	2.16e-41	0.3714	0.349	0.9396	1.007
NODE_4_length_156707_cov_15.332159_42	COG1903	7.45e-114	0.4649	0.4687	1.008	0.961
NODE_4_length_156707_cov_15.332159_96	COG0043	5.38e-113	0.3773	0.3417	0.9057	1.029
NODE_5_length_138743_cov_15.678321_36	COG2007	1.2e-49	0.5635	0.5591	0.9921	1
NODE_5_length_138743_cov_15.678321_124	COG0277	1.77e-70	0.2799	0.2854	1.02	0.8731
NODE_6_length_125980_cov_87.281550_66	COG1719	5.13e-33	0.329	0.3228	0.981	0.6175
NODE_6_length_125980_cov_87.281550_103	COG1436	3.4e-24	0.4206	0.4327	1.029	1
NODE_8_length_112668_cov_91.537734_45	COG2218	1.29e-78	0.4532	0.4583	1.011	0.9889
NODE_8_length_112668_cov_91.537734_100	COG1223	0	0.5577	0.5516	0.9891	0.9733
NODE_9_length_111157_cov_16.817258_24	COG1718	3.13e-99	0.4701	0.4403	0.9366	0.9544
NODE_10_length_107865_cov_90.702212_1	COG1035	8.06e-115	0.4824	0.4126	0.8554	0.9627
NODE_10_length_107865_cov_90.702212_3	COG0680	7.53e-41	0.3526	0.3437	0.975	0.9936
NODE_10_length_107865_cov_90.702212_39	COG1545	4.43e-45	0.4419	0.4071	0.9214	0.9699
NODE_12_length_102272_cov_16.001243_24	COG1007	2.37e-109	0.3848	0.3937	1.023	0.9662
NODE_12_length_102272_cov_16.001243_95	COG0452	5.92e-90	0.365	0.3724	1.02	1.008
NODE_16_length_61116_cov_84.262029_17	COG1180	4.21e-51	0.3158	0.2769	0.8769	0.9744
NODE_16_length_61116_cov_84.262029_65	COG0250	5.15e-24	0.2303	0.2303	1	1.179
NODE_19_length_54512_cov_14.152824_3	COG0655	2.7e-28	0.3411	0.2126	0.6232	0.7247
NODE_20_length_53612_cov_15.351191_29	COG1325	9.37e-34	0.3217	0.3087	0.9597	0.9795
NODE_29_length_39564_cov_89.439512_19	COG1880	1.93e-69	0.4615	0.4588	0.9941	0.9941
NODE_30_length_38810_cov_89.773191_30	COG3956	1.47e-77	0.4444	0.2295	0.5164	0.9805
NODE_31_length_37357_cov_13.731411_36	COG0169	8.13e-69	0.3636	0.3534	0.9717	0.6381
NODE_37_length_34206_cov_14.013595_18	COG0031	2.78e-121	0.5415	0.5433	1.003	0.9901
NODE_40_length_31484_cov_80.441940_21	COG0071	2.5e-27	0.3868	0.2808	0.726	0.555
NODE_49_length_29195_cov_16.573116_4	COG1831	5.49e-96	0.4429	0.4351	0.9825	1.004
NODE_69_length_24033_cov_113.446443_12	COG3643	4.63e-108	0.4	0.4371	1.093	0.583
NODE_81_length_20764_cov_83.266593_10	COG0180	3.03e-125	0.449	0.449	1	0.9486
NODE_85_length_19958_cov_88.708214_3	COG1253	4.01e-101	0.3411	0.3403	0.9977	0.9618
NODE_106_length_15625_cov_81.699961_9	COG0084	2.82e-27	0.2565	0.1914	0.7461	0.9009
NODE_116_length_14577_cov_97.124414_1	COG0507	7.39e-19	0.2036	0.1293	0.6351	0.5287
NODE_126_length_13091_cov_95.183879_12	COG0572	1.37e-80	0.5846	0.5229	0.8945	0.9559
NODE_132_length_12247_cov_77.169269_5	COG0841	7.72e-175	0.2394	0.2458	1.027	1.001
NODE_139_length_11374_cov_87.003275_8	COG2520	9.54e-113	0.4265	0.434	1.018	1.018
NODE_147_length_10431_cov_84.739135_2	COG1561	2.71e-60	0.3229	0.3207	0.9931	1
NODE_159_length_9309_cov_82.216313_6	COG3269	1.3e-23	0.6308	0.5616	0.8904	0.8904
NODE_159_length_9309_cov_82.216313_7	COG2045	1.64e-60	0.4245	0.3913	0.9217	0.9339
NODE_162_length_8813_cov_11.472527_2	COG0463	4.5e-24	0.2465	0.1787	0.7251	0.8683
NODE_185_length_7183_cov_87.314804_2	COG2373	4.3e-47	0.1664	0.1771	1.064	0.8514
NODE_217_length_5416_cov_123.825997_1	COG0463	5.06e-18	0.3364	0.1271	0.378	0.9565
NODE_230_length_5033_cov_17.789346_3	COG1575	6.16e-46	0.3227	0.2673	0.8284	0.8019
NODE_250_length_4153_cov_73.934004_4	COG2360	1.54e-76	0.4293	0.3982	0.9276	0.9361
NODE_1_length_174676_cov_75.610868_139	COG4052	3.48e-11	0.3472	0.08064	0.2323	0.4417
NODE_2_length_162612_cov_78.117187_73	COG0130	2.16e-105	0.431	0.4723	1.096	0.9252
NODE_3_length_156794_cov_85.676493_32	COG1502	1.84e-26	0.2115	0.2009	0.9498	0.6865
NODE_3_length_156794_cov_85.676493_46	COG0569	7.48e-61	0.3455	0.3378	0.9778	1.009
NODE_3_length_156794_cov_85.676493_146	COG2244	9.27e-42	0.2338	0.2333	0.9979	1.004
NODE_4_length_156707_cov_15.332159_83	COG0054	6.34e-46	0.3427	0.3224	0.9408	1.029
NODE_6_length_125980_cov_87.281550_53	COG2133	9.96e-87	0.3597	0.3083	0.8571	0.9744
NODE_8_length_112668_cov_91.537734_33	COG1526	1.75e-74	0.3462	0.3383	0.9774	1.036
NODE_9_length_111157_cov_16.817258_12	COG0436	2.1e-128	0.3995	0.3944	0.9873	1.008
NODE_11_length_105680_cov_79.303012_9	COG1474	3.58e-89	0.3306	0.3306	1	0.9786
NODE_11_length_105680_cov_79.303012_15	COG0028	0	0.4128	0.4	0.9691	0.9963
NODE_12_length_102272_cov_16.001243_22	COG0644	3.94e-66	0.3162	0.2803	0.8864	0.9696
NODE_13_length_68512_cov_85.489369_13	COG0006	1.54e-60	0.2494	0.2656	1.065	1.03
NODE_15_length_61306_cov_84.763935_1	COG0215	0	0.5032	0.5043	1.002	1.011
NODE_16_length_61116_cov_84.262029_39	COG1852	2.51e-74	0.4785	0.4785	1	0.8932
NODE_18_length_57661_cov_83.486854_10	COG0524	1.06e-62	0.3219	0.3023	0.9389	0.9898
NODE_22_length_46028_cov_91.703641_2	COG1905	3.34e-58	0.4014	0.3563	0.8875	0.9404
NODE_22_length_46028_cov_91.703641_8	COG4032	4.91e-69	0.5208	0.436	0.8372	0.9863
NODE_22_length_46028_cov_91.703641_32	COG0517	1.73e-25	0.4118	0.4188	1.017	0.6467
NODE_25_length_43588_cov_89.433017_6	COG2256	0	0.5355	0.5184	0.9679	1.005
NODE_43_length_30340_cov_108.852394_7	COG0084	3.7e-87	0.3956	0.4219	1.066	1.062
NODE_43_length_30340_cov_108.852394_23	COG0557	0	0.3971	0.3909	0.9844	0.9639
NODE_45_length_29892_cov_79.173470_14	COG2373	1.13e-138	0.2073	0.2116	1.021	0.8917
NODE_49_length_29195_cov_16.573116_1	COG0269	5.73e-78	0.455	0.4424	0.9724	0.4896
NODE_49_length_29195_cov_16.573116_31	COG2076	5.07e-23	0.3396	0.3396	1	0.876
NODE_59_length_25699_cov_33.101163_10	COG1337	3.91e-35	0.3481	0.253	0.7269	0.9476
NODE_59_length_25699_cov_33.101163_11	COG1567	8.54e-41	0.2765	0.2748	0.9936	1.023
NODE_72_length_23540_cov_89.391126_14	COG1262	1.58e-18	0.213	0.2293	1.076	0.5121
NODE_77_length_22302_cov_86.782542_4	COG0623	1.11e-55	0.3359	0.3398	1.012	0.9391
NODE_81_length_20764_cov_83.266593_11	COG0286	2.59e-24	0.1885	0.1738	0.9223	0.5401
NODE_99_length_17036_cov_100.009611_5	COG4624	4.5e-16	0.2096	0.18	0.8589	0.7933
NODE_99_length_17036_cov_100.009611_14	COG0536	2.4e-143	0.5315	0.4797	0.9024	1.006
NODE_100_length_16440_cov_72.171362_4	COG0055	0	0.6433	0.6859	1.066	0.992
NODE_108_length_15443_cov_80.435312_7	COG0742	5.93e-51	0.3441	0.3422	0.9947	1.045
NODE_114_length_15148_cov_9.917258_6	COG0286	9.07e-16	0.1955	0.1779	0.91	0.4363
NODE_131_length_12298_cov_49.382456_2	COG1519	1.2e-51	0.2304	0.2172	0.9427	0.9634
